conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,5.121167,5.054799,6.90461,1.864372,3.397267,3.794818
0.03162,,6.533308,,,4.684259,
0.1,,14.749586,,,14.718655,
0.316,,97.673776,6.670249,,85.317116,3.647456
1,,98.969324,6.524259,,85.157972,3.569414
3.16,6.913071,99.765802,8.414539,2.259359,71.121718,3.764337
10,11.065796,93.262411,15.831755,5.257058,11,6.155457
31.6,64.928599,9.090909,48.590484,44.974053,3.125,5.13984
100,92.248392,,76.620889,85.467924,,6.798523
316,98.528916,,88.247307,89.897331,,7.348222
1000,95.985401,,,84.636119,,
3162,42.857143,,,6.756757,,
