conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,0.029913,0.101756,0.134474,0.209895,0.918422,0.389131
0.03162,,0.22061,,,0.854788,
0.1,,0.658807,,,7.326846,
0.316,,77.759197,0.038818,,88.019863,0.320974
1,,90.374332,0.187044,,93.842557,0.211232
3.16,0.356926,95.309168,0.185797,0.66379,96.016771,0.190638
10,0.467108,94.402036,25.086866,0.850358,91.675916,0.163493
31.6,0.798664,98.787879,55.041518,4.427271,93.530997,0.115271
100,54.278729,,82.698962,68.537259,,0.483215
316,76.612903,,86.734694,85.277778,,0.455869
1000,65.625,,,75.561097,,
3162,0,,,17.741935,,
