conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,3.295213,3.147775,3.725789,3.298708,3.397267,3.926161
0.03162,,3.252951,,,4.684259,
0.1,,4.754778,,,14.718655,
0.316,,82.44382,3.6706,,85.317116,4.577791
1,,95.045441,4.083075,,85.157972,4.258152
3.16,3.128949,95.522388,11.981201,3.610174,71.121718,4.350384
10,4.318233,96.183206,42.979964,4.603433,11,4.18727
31.6,22.201295,16.666667,67.04996,53.612565,3.125,4.448857
100,74.188563,,84.577922,82.807018,,5.14131
316,85.991189,,87.258141,49.514563,,6.278693
1000,90.41769,,,47.222222,,
3162,14.814815,,,8.823529,,
