clone,date,median_mfi
0,0,44.44239
1,0,25586.68945
1,4,7900.618652
1,7,718.336426
1,11,132.196808
1,14,71.342667
22,0,3908.818359
22,4,765.913452
22,7,69.344513
22,11,44.039326
23,0,2545.854248
23,4,281.707611
23,7,59.39257
23,11,49.436737
24,0,3383.693115
24,4,332.231537
24,7,46.21339
24,11,38.322556
