sample,type,collection_date,date,timepoint,gfp_pos,mcherry_pos,frac_gfp_pos,frac_mcherry_pos
attB-EGFP,control,1,171114,0,9.438852,1.603816,1,1
attB-EGFP,control,2,171116,2,9.07165,1.705687,0.961096752,1.063517885
attB-EGFP,control,3,171121,7,7.285429,1.289313,0.771855412,0.803903316
attB-p21-EGFP_A,experimental,1,171114,0,1.207905,4.120638,1,1
attB-p21-EGFP_A,experimental,2,171116,2,0.449018,3.364961,0.371732876,0.816611651
attB-p21-EGFP_A,experimental,3,171121,7,0.024976,2.530943,0.020677123,0.61421144
attB-p21-EGFP_B,experimental,1,171114,0,2.218533,7.255509,1,1
attB-p21-EGFP_B,experimental,2,171116,2,0.656929,6.46286,0.296109636,0.890752117
attB-p21-EGFP_B,experimental,3,171121,7,0.046767,4.978046,0.021080146,0.686105689
