conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,0.021361,0.123741,0.08489,0.110453,0.575469,0.282479
0.03162,,0.06575,,,0.805478,
0.1,,0.258473,,,4.132531,
0.316,,82.941904,0.103892,,80.280069,0.189777
1,,94.145455,4.18146,,93.279917,0.15974
3.16,0.029521,97.477064,25.236908,0.156503,98.697775,0.113299
10,0.107423,89.136014,50.837139,0.122699,96.184561,0.11663
31.6,1.888849,96.438112,72.544952,5.916462,97.910864,0.14344
100,42.289499,,68.75,79.333333,,0.235722
316,35.626536,,96.438112,87.333855,,0.359474
1000,45.098039,,,75.382653,,
3162,0,,,55.555556,,
